policy_id,exposure,named_insured_age,model_year,vehicle_age,annual_miles,credit_score,horsepower,operator_count,at_fault_accidents,territory,vehicle_type,marital_status,underwriting_company,youthful_driver,collision_deductible,collision_claim_count,collision_total_loss,collision_loss_cost
1,0.86,19,2017,8,13717.140621269848,735.1142928403333,144.112581068888,3,0,Urban,Sedan,Married,Preferred,0,250,0,0.0,0.0
2,0.99,24,2017,8,14203.568438647397,762.0072789064951,159.76397858671615,2,2,Urban,Sedan,Married,Standard,0,1000,1,712.7278963249715,719.9271680050217
3,0.75,44,2017,8,12923.311929975891,,225.93349420947223,2,0,Suburban,Truck,Married,Standard,0,500,0,0.0,0.0
4,0.63,74,2005,20,,750.8978082243385,208.31493495199183,2,0,Suburban,SUV,Single,Standard,1,250,0,0.0,0.0
5,0.91,47,2006,19,10180.372450433346,703.717229821292,106.64702321678473,2,1,Rural,Sedan,Single,Standard,0,250,0,0.0,0.0
6,0.75,46,2016,9,9881.86595458352,704.6794403069232,269.7446568267201,1,0,Urban,SUV,Single,Preferred,0,1000,0,0.0,0.0
7,0.99,69,2005,20,7115.963281046317,624.1117404687519,170.07580783480813,1,0,Suburban,SUV,Married,Preferred,1,1000,0,0.0,0.0
8,0.68,46,2005,20,12759.503776018457,643.7565468868265,216.2513489772864,1,0,Urban,SUV,Married,NonStandard,1,500,0,0.0,0.0
9,0.52,20,2024,1,14010.51078145964,696.7483735202214,133.02098393728537,1,1,Rural,SUV,Married,NonStandard,0,500,0,0.0,0.0
10,0.7,72,2005,20,9953.136067190451,820.8085124515992,147.52073954090065,4,1,Suburban,Sedan,Single,Standard,1,250,0,0.0,0.0
11,0.53,45,2019,6,17844.339636506716,702.5372480819901,119.79501625906052,2,0,Suburban,Sedan,Married,Standard,0,250,0,0.0,0.0
12,0.54,25,2024,1,10999.00306647149,772.4547248532662,222.87672318187555,2,0,Urban,Truck,Married,Standard,1,500,0,0.0,0.0
13,0.77,25,2012,13,14798.972912441779,844.052269095482,188.89583380027062,1,0,Suburban,Sedan,Single,Preferred,0,1000,0,0.0,0.0
14,0.53,38,2019,6,8992.91584837451,664.4362487209129,237.457315670828,3,0,Suburban,Truck,Single,NonStandard,0,1000,0,0.0,0.0
15,0.72,51,2017,8,9186.781632413496,675.3420789752618,121.3527735953773,2,0,Rural,SUV,Single,Preferred,0,500,0,0.0,0.0
16,0.56,66,2006,19,9306.526735192425,,87.44376159613391,1,0,Suburban,Sports,Single,Preferred,0,500,0,0.0,0.0
